rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep2	NA	1PLP	fov_5	52	379	0.0029907683	3	7.288461538461538	1
rep2	NA	1PLP	fov_6	37	265	0.0023041123	3	7.162162162162162	1
rep2	NA	1PLP	fov_8	26	163	0.002761883	3	6.269230769230769	1
rep2	NA	1PLP	fov_9	24	237	0.002838178	3	9.875	1
rep2	NA	2PLP	fov_0	99	5077	0.0037079423	3	51.282828282828284	2
rep2	NA	2PLP	fov_1	76	4470	0.004074159	3	58.81578947368421	2
rep2	NA	2PLP	fov_2	81	5272	0.0036774243	3	65.08641975308642	2
rep2	NA	2PLP	fov_3	77	4330	0.004028382	3	56.23376623376623	2
rep2	NA	2PLP	fov_4	93	6234	0.004226749	3	67.03225806451613	2
rep2	NA	2PLP	fov_5	84	3992	0.0039673457	3	47.523809523809526	2
rep2	NA	2PLP	fov_6	45	2555	0.0033417258	3	56.77777777777778	2
rep2	NA	2PLP	fov_7	62	4538	0.003448539	3	73.19354838709677	2
rep2	NA	2PLP	fov_8	77	4753	0.0039826045	3	61.72727272727273	2
rep2	NA	2PLP	fov_9	92	5043	0.003952087	3	54.81521739130435	2
rep2	NA	3PLP	fov_0	104	4096	0.004470893	3	39.38461538461539	3
rep2	NA	3PLP	fov_1	102	4054	0.0032043946	3	39.745098039215684	3
rep2	NA	3PLP	fov_2	92	4047	0.00280766	3	43.98913043478261	3
rep2	NA	3PLP	fov_3	111	3679	0.0043183034	3	33.14414414414414	3
rep2	NA	3PLP	fov_4	88	4045	0.004180972	3	45.96590909090909	3
rep2	NA	3PLP	fov_5	116	4716	0.004119936	3	40.6551724137931	3
rep2	NA	3PLP	fov_6	173	5469	0.0042572673	3	31.612716763005782	3
rep2	NA	3PLP	fov_7	93	5481	0.0030365454	3	58.935483870967744	3
rep2	NA	3PLP	fov_8	95	4634	0.004272526	3	48.77894736842105	3
rep2	NA	3PLP	fov_9	103	4853	0.004119936	3	47.116504854368934	3
rep2	NA	4PLP	fov_0	90	3137	0.00280766	3	34.855555555555554	4
rep2	NA	4PLP	fov_1	86	3806	0.002761883	3	44.25581395348837	4
rep2	NA	4PLP	fov_2	76	2025	0.002792401	3	26.644736842105264	4
rep2	NA	4PLP	fov_3	76	2936	0.0035706111	3	38.63157894736842	4
rep2	NA	4PLP	fov_4	87	3869	0.0038910506	3	44.47126436781609	4
rep2	NA	4PLP	fov_5	91	3664	0.003540093	3	40.26373626373626	4
rep2	NA	4PLP	fov_6	84	4337	0.0033569848	3	51.63095238095238	4
rep2	NA	4PLP	fov_7	68	2780	0.0032959487	3	40.88235294117647	4
rep2	NA	4PLP	fov_8	108	3328	0.0033417258	3	30.814814814814813	4
rep2	NA	4PLP	fov_9	84	5069	0.0030518044	3	60.345238095238095	4
rep2	NA	5PLP	fov_0	126	5227	0.0033875029	3	41.48412698412698	5
rep2	NA	5PLP	fov_1	115	3829	0.0037842374	3	33.29565217391304	5
rep2	NA	5PLP	fov_2	89	3909	0.0035706111	3	43.92134831460674	5
rep2	NA	5PLP	fov_3	115	4342	0.0039978637	3	37.756521739130434	5
rep2	NA	5PLP	fov_4	121	4364	0.0046387427	3	36.06611570247934	5
rep2	NA	5PLP	fov_5	109	4263	0.005294881	3	39.11009174311926	5
rep2	NA	5PLP	fov_6	98	4996	0.0044556344	3	50.97959183673469	5
rep2	NA	5PLP	fov_7	125	5654	0.0033722438	3	45.232	5
rep2	NA	5PLP	fov_8	152	5097	0.003448539	3	33.5328947368421	5
rep2	NA	5PLP	fov_9	144	4684	0.0036316472	3	32.52777777777778	5
rep2	NA	6PLP	fov_0	77	5752	0.0039673457	3	74.7012987012987	6
rep2	NA	6PLP	fov_1	129	5674	0.0044556344	3	43.98449612403101	6
rep2	NA	6PLP	fov_2	113	6252	0.0037842374	3	55.32743362831859	6
rep2	NA	6PLP	fov_3	76	5163	0.0039215684	3	67.9342105263158	6
rep2	NA	6PLP	fov_4	75	4723	0.0036011292	3	62.973333333333336	6
rep2	NA	6PLP	fov_5	130	5326	0.0050507365	3	40.96923076923077	6
rep2	NA	6PLP	fov_6	122	6391	0.0040436406	3	52.385245901639344	6
rep2	NA	6PLP	fov_7	96	5367	0.004119936	3	55.90625	6
rep2	NA	6PLP	fov_8	90	4711	0.004013123	3	52.34444444444444	6
rep2	NA	6PLP	fov_9	79	6694	0.0037079423	3	84.73417721518987	6
rep2	NA	8PLP	fov_0	61	4497	0.0033569848	3	73.72131147540983	8
rep2	NA	8PLP	fov_1	60	4797	0.003418021	3	79.95	8
rep2	NA	8PLP	fov_2	84	4522	0.0036469062	3	53.833333333333336	8
rep2	NA	8PLP	fov_3	97	3803	0.004242008	3	39.20618556701031	8
rep2	NA	8PLP	fov_4	79	5040	0.0049057755	3	63.79746835443038	8
rep2	NA	8PLP	fov_5	76	4824	0.0045319293	3	63.473684210526315	8
rep2	NA	8PLP	fov_6	74	4420	0.004119936	3	59.729729729729726	8
rep2	NA	8PLP	fov_7	83	6052	0.0036469062	3	72.91566265060241	8
rep2	NA	8PLP	fov_8	91	5811	0.0037232013	3	63.857142857142854	8
rep2	NA	8PLP	fov_9	84	6183	0.0038757916	3	73.60714285714286	8
