rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep0	HA	2PLP	fov_7	38	1998	0.016563669000000003	3	52.578947368421055	2
rep0	HA	2PLP	fov_8	35	2310	0.0138017855	3	66	2
rep0	HA	3PLP	fov_0	40	1538	0.010399023	3	38.45	3
rep0	HA	3PLP	fov_1	37	1364	0.0100175475	3	36.86486486486486	3
rep0	HA	3PLP	fov_2	43	1916	0.00999466	3	44.55813953488372	3
rep0	HA	3PLP	fov_3	54	2705	0.017059587	3	50.092592592592595	3
rep0	HA	3PLP	fov_4	57	2992	0.008743419	3	52.49122807017544	3
rep0	HA	3PLP	fov_5	42	1620	0.011108568	3	38.57142857142857	3
rep0	HA	3PLP	fov_6	34	2195	0.009430075	3	64.55882352941177	3
rep0	HA	3PLP	fov_7	50	3068	0.021194782	3	61.36	3
rep0	HA	3PLP	fov_8	60	3205	0.020462349	3	53.416666666666664	3
rep0	HA	4PLP	fov_0	45	2189	0.014724956	3	48.644444444444446	4
rep0	HA	4PLP	fov_1	41	1787	0.024689097	3	43.58536585365854	4
rep0	HA	4PLP	fov_2	43	2346	0.018066682	3	54.55813953488372	4
rep0	HA	4PLP	fov_3	30	2922	0.011924926	3	97.4	4
rep0	HA	4PLP	fov_4	39	1702	0.022598611	3	43.64102564102564	4
rep0	HA	4PLP	fov_5	61	3591	0.012405585	3	58.868852459016395	4
rep0	HA	4PLP	fov_6	26	679	0.011276417	3	26.115384615384617	4
rep0	HA	4PLP	fov_7	35	1297	0.010360876	3	37.05714285714286	4
rep0	HA	4PLP	fov_8	36	2412	0.015754940000000002	3	67	4
rep0	HA	6PLP	fov_0	34	1449	0.01451133	3	42.61764705882353	6
rep0	HA	6PLP	fov_1	27	1494	0.013824673000000001	3	55.333333333333336	6
rep0	HA	6PLP	fov_2	33	1998	0.009864958	3	60.54545454545455	6
rep0	HA	6PLP	fov_3	20	584	0.023002974500000002	3	29.2	6
rep0	HA	6PLP	fov_4	62	3470	0.012771801	3	55.96774193548387	6
rep0	HA	6PLP	fov_5	39	2323	0.011841001	3	59.56410256410256	6
rep0	HA	6PLP	fov_6	8	146	0.0207064925	3	18.25	6
rep0	HA	6PLP	fov_7	42	4498	0.017517358	3	107.0952380952381	6
rep0	HA	6PLP	fov_8	42	4255	0.015930418	3	101.30952380952381	6
rep0	HA	8PLP	fov_0	44	1268	0.020508125500000002	3	28.818181818181817	8
rep0	HA	8PLP	fov_1	29	2050	0.0088654915	3	70.6896551724138	8
rep0	HA	8PLP	fov_2	25	1388	0.026070040000000003	3	55.52	8
rep0	HA	8PLP	fov_3	62	3561	0.020019837	3	57.435483870967744	8
rep0	HA	8PLP	fov_4	72	4411	0.02041657	3	61.263888888888886	8
rep0	HA	8PLP	fov_5	45	3965	0.01794461	3	88.11111111111111	8
rep0	HA	8PLP	fov_6	60	3641	0.015625238	3	60.68333333333333	8
rep0	HA	8PLP	fov_7	48	2943	0.019317921	3	61.3125	8
rep0	HA	8PLP	fov_8	30	396	0.04501411499999999	3	13.2	8
rep1	HA	10PLP	fov_0	27	767	0.002746624	3	28.40740740740741	10
rep1	HA	10PLP	fov_1	19	391	0.002746624	3	20.57894736842105	10
rep1	HA	10PLP	fov_2	21	375	0.0026245518	3	17.857142857142858	10
rep1	HA	10PLP	fov_3	76	3077	0.0014953841	3	40.48684210526316	10
rep1	HA	10PLP	fov_4	33	630	0.0025635157	3	19.09090909090909	10
rep1	HA	10PLP	fov_5	27	541	0.002731365	3	20.037037037037038	10
rep1	HA	10PLP	fov_6	29	611	0.002746624	3	21.06896551724138	10
rep1	HA	10PLP	fov_7	27	587	0.0026703288	3	21.74074074074074	10
rep1	HA	10PLP	fov_8	15	293	0.0025177386	3	19.533333333333335	10
rep1	HA	10PLP	fov_9	19	433	0.0024261845	3	22.789473684210527	10
rep1	HA	1PLP	fov_0	62	1609	0.00140383	3	25.951612903225808	1
rep1	HA	1PLP	fov_1	45	1477	0.001358053	3	32.82222222222222	1
